contexto,repeticao,duracao_segundos
reprozip_external,1,7.809983
reprozip_external,2,5.51315
reprozip_external,3,5.921788
reprozip_external,4,6.468088
reprozip_external,5,5.516275
reprozip_external,6,5.858926
reprozip_external,7,5.632899
reprozip_external,8,5.857463
reprozip_external,9,5.501319
reprozip_external,10,5.811997
native_external,1,6.23683
native_external,2,6.313632
native_external,3,6.450921
native_external,4,6.061777
native_external,5,6.321445
native_external,6,6.464093
native_external,7,6.151232
native_external,8,6.435084
native_external,9,6.17954
native_external,10,6.381276
docker_external,1,1.630194
docker_external,2,1.577491
docker_external,3,1.785873
docker_external,4,1.688201
docker_external,5,1.662283
docker_external,6,1.636631
docker_external,7,1.688533
docker_external,8,1.607775
docker_external,9,1.8622
docker_external,10,1.698375
