Name,Wattage,VRAM,3DMARK
GeForce GTX 1050,75W,2GB,1861
GeForce GTX 1050 Ti,75W,4GB,2356
GeForce GTX 1060,120W,6GB,4215
GeForce GTX 1650,75W,4GB,3552
GeForce GTX 1660 SUPER,125W,6GB,6078
GeForce GTX 1660 Ti,120W,6GB,6373
GeForce RTX 2060,160W,6GB,7601
GeForce RTX 2080 Ti,250W,11GB,14628
GeForce RTX 3050,130W,8GB,6205
GeForce RTX 3060,170W,12GB,8739
GeForce RTX 3060 Ti,200W,8GB,11744
GeForce RTX 3070,220W,8GB,13663
GeForce RTX 3070 Ti,290W,8GB,14831
GeForce RTX 3080,320W,10GB,17656
GeForce RTX 3080 Ti,350W,12GB,19592
GeForce RTX 3090,350W,24GB,19901
GeForce RTX 4060,115W,8GB,10630
GeForce RTX 4060 Ti,160W,8GB,13462
GeForce RTX 4070,200W,12GB,17846
GeForce RTX 4070 SUPER,220W,12GB,21214
GeForce RTX 4070 Ti,285W,12GB,22706
GeForce RTX 4070 Ti SUPER,285W,16GB,24426
GeForce RTX 4080 SUPER,320W,16GB,28531
GeForce RTX 4090,450W,24GB,35966
Radeon R7 360,100W,2GB,1368
Radeon R9 370,150W,4GB,1456
Radeon R9 380,190W,4GB,2754
Radeon RX 460,75W,4GB,1760
Radeon RX 550,50W,4GB,1195
Radeon RX 560,80W,4GB,1860
Radeon RX 580,185W,8GB,4346
Radeon RX 6400,53W,4GB,3622
Radeon RX 6500 XT,107W,4GB,4973
Radeon RX 6600,132W,8GB,8158
Radeon RX 6600 XT,160W,8GB,9707
Radeon RX 6650 XT,176W,8GB,10027
Radeon RX 6700 XT,230W,12GB,12808
Radeon RX 6750 XT,250W,12GB,13595
Radeon RX 6800,250W,16GB,15972
Radeon RX 6800 XT,300W,16GB,19187
Radeon RX 6900 XT,300W,16GB,20621
Radeon RX 7600,165W,8GB,10817
Radeon RX 7600 XT,190W,16GB,11379
Radeon RX 7700 XT,245W,12GB,17245
Radeon RX 7800 XT,263W,16GB,19839
Radeon RX 7900 GRE,260W,16GB,21644
Radeon RX 7900 XT,315W,20GB,25617
Radeon RX 7900 XTX,355W,24GB,29246
