Date,Name,Retail Price,Used Price
01-01-24,GeForce GTX 1050,0,0
01-02-24,GeForce GTX 1050,0,0
01-03-23,GeForce GTX 1050,192,61
01-03-24,GeForce GTX 1050,254,52
01-04-23,GeForce GTX 1050,181,55
01-04-24,GeForce GTX 1050,254,52
01-05-23,GeForce GTX 1050,162,62
01-05-24,GeForce GTX 1050,254,52
01-06-23,GeForce GTX 1050,176,54
01-06-24,GeForce GTX 1050,254,52
01-07-23,GeForce GTX 1050,190,52
01-07-24,GeForce GTX 1050,254,52
01-08-23,GeForce GTX 1050,179,51
01-08-24,GeForce GTX 1050,254,52
01-09-23,GeForce GTX 1050,174,52
01-09-24,GeForce GTX 1050,254,52
01-10-23,GeForce GTX 1050,254,52
01-10-24,GeForce GTX 1050,254,52
01-11-23,GeForce GTX 1050,0,0
01-11-24,GeForce GTX 1050,254,52
01-12-23,GeForce GTX 1050,0,0
01-12-24,GeForce GTX 1050,254,52
01-01-24,GeForce GTX 1050 Ti,0,0
01-02-24,GeForce GTX 1050 Ti,0,0
01-03-23,GeForce GTX 1050 Ti,198,80
01-03-24,GeForce GTX 1050 Ti,190,65
01-04-23,GeForce GTX 1050 Ti,195,75
01-04-24,GeForce GTX 1050 Ti,190,65
01-05-23,GeForce GTX 1050 Ti,201,78
01-05-24,GeForce GTX 1050 Ti,190,65
01-06-23,GeForce GTX 1050 Ti,199,67
01-06-24,GeForce GTX 1050 Ti,190,65
01-07-23,GeForce GTX 1050 Ti,195,62
01-07-24,GeForce GTX 1050 Ti,190,65
01-08-23,GeForce GTX 1050 Ti,172,61
01-08-24,GeForce GTX 1050 Ti,190,65
01-09-23,GeForce GTX 1050 Ti,186,57
01-09-24,GeForce GTX 1050 Ti,190,65
01-10-23,GeForce GTX 1050 Ti,183,62
01-10-24,GeForce GTX 1050 Ti,190,65
01-11-23,GeForce GTX 1050 Ti,0,0
01-11-24,GeForce GTX 1050 Ti,190,65
01-12-23,GeForce GTX 1050 Ti,0,0
01-12-24,GeForce GTX 1050 Ti,190,65
01-01-23,GeForce GTX 1060,277,91
01-01-24,GeForce GTX 1060,0,73
01-02-23,GeForce GTX 1060,254,83
01-02-24,GeForce GTX 1060,0,75
01-03-23,GeForce GTX 1060,239,79
01-03-24,GeForce GTX 1060,0,71
01-04-23,GeForce GTX 1060,384,72
01-04-24,GeForce GTX 1060,0,70
01-05-23,GeForce GTX 1060,282,74
01-05-24,GeForce GTX 1060,0,68
01-06-23,GeForce GTX 1060,195,66
01-06-24,GeForce GTX 1060,0,66
01-07-23,GeForce GTX 1060,323,66
01-07-24,GeForce GTX 1060,0,64
01-08-23,GeForce GTX 1060,359,62
01-08-24,GeForce GTX 1060,339,63
01-09-23,GeForce GTX 1060,284,52
01-09-24,GeForce GTX 1060,339,54
01-10-23,GeForce GTX 1060,184,61
01-10-24,GeForce GTX 1060,0,50
01-11-22,GeForce GTX 1060,259,197
01-11-23,GeForce GTX 1060,0,65
01-11-24,GeForce GTX 1060,339,59
01-12-22,GeForce GTX 1060,259,107
01-12-23,GeForce GTX 1060,0,68
01-12-24,GeForce GTX 1060,339,60
01-01-23,GeForce GTX 1650,134,87
01-01-24,GeForce GTX 1650,164,89
01-02-23,GeForce GTX 1650,144,77
01-02-24,GeForce GTX 1650,159,93
01-03-23,GeForce GTX 1650,144,66
01-03-24,GeForce GTX 1650,155,88
01-04-23,GeForce GTX 1650,140,79
01-04-24,GeForce GTX 1650,149,87
01-05-23,GeForce GTX 1650,146,96
01-05-24,GeForce GTX 1650,149,84
01-06-23,GeForce GTX 1650,140,85
01-06-24,GeForce GTX 1650,146,74
01-07-23,GeForce GTX 1650,141,81
01-07-24,GeForce GTX 1650,147,79
01-08-23,GeForce GTX 1650,148,76
01-08-24,GeForce GTX 1650,149,72
01-09-23,GeForce GTX 1650,162,76
01-09-24,GeForce GTX 1650,146,66
01-10-23,GeForce GTX 1650,137,77
01-10-24,GeForce GTX 1650,135,65
01-11-22,GeForce GTX 1650,139,198
01-11-23,GeForce GTX 1650,143,81
01-11-24,GeForce GTX 1650,149,50
01-12-22,GeForce GTX 1650,132,105
01-12-23,GeForce GTX 1650,165,88
01-12-24,GeForce GTX 1650,170,63
01-01-23,GeForce GTX 1660 SUPER,273,125
01-01-24,GeForce GTX 1660 SUPER,222,121
01-02-23,GeForce GTX 1660 SUPER,263,116
01-02-24,GeForce GTX 1660 SUPER,229,114
01-03-23,GeForce GTX 1660 SUPER,256,118
01-03-24,GeForce GTX 1660 SUPER,225,110
01-04-23,GeForce GTX 1660 SUPER,215,111
01-04-24,GeForce GTX 1660 SUPER,220,100
01-05-23,GeForce GTX 1660 SUPER,176,110
01-05-24,GeForce GTX 1660 SUPER,208,97
01-06-23,GeForce GTX 1660 SUPER,164,96
01-06-24,GeForce GTX 1660 SUPER,224,95
01-07-23,GeForce GTX 1660 SUPER,167,91
01-07-24,GeForce GTX 1660 SUPER,234,95
01-08-23,GeForce GTX 1660 SUPER,165,99
01-08-24,GeForce GTX 1660 SUPER,252,93
01-09-23,GeForce GTX 1660 SUPER,168,74
01-09-24,GeForce GTX 1660 SUPER,264,88
01-10-23,GeForce GTX 1660 SUPER,196,91
01-10-24,GeForce GTX 1660 SUPER,255,86
01-11-22,GeForce GTX 1660 SUPER,195,203
01-11-23,GeForce GTX 1660 SUPER,194,90
01-11-24,GeForce GTX 1660 SUPER,270,87
01-12-22,GeForce GTX 1660 SUPER,290,135
01-12-23,GeForce GTX 1660 SUPER,221,107
01-12-24,GeForce GTX 1660 SUPER,237,90
01-01-23,GeForce GTX 1660 Ti,323,142
01-01-24,GeForce GTX 1660 Ti,367,125
01-02-23,GeForce GTX 1660 Ti,261,126
01-02-24,GeForce GTX 1660 Ti,331,118
01-03-23,GeForce GTX 1660 Ti,240,131
01-03-24,GeForce GTX 1660 Ti,327,127
01-04-23,GeForce GTX 1660 Ti,274,128
01-04-24,GeForce GTX 1660 Ti,328,119
01-05-23,GeForce GTX 1660 Ti,184,133
01-05-24,GeForce GTX 1660 Ti,353,112
01-06-23,GeForce GTX 1660 Ti,210,115
